spend_date,channel,category,marketing_spend
2025-10-01,D2C_APP,Shirts,6364.21
2025-10-01,D2C_APP,T-Shirts,4638.58
2025-10-01,D2C_APP,Jeans,2908.93
2025-10-01,D2C_APP,Co-ords,2808.19
2025-10-01,D2C_APP,Trousers,2199.08
2025-10-01,D2C_APP,Jackets,1437.07
2025-10-01,D2C_WEB,Shirts,4051.91
2025-10-01,D2C_WEB,T-Shirts,3018.79
2025-10-01,D2C_WEB,Jeans,1832.19
2025-10-01,D2C_WEB,Co-ords,1654.33
2025-10-01,D2C_WEB,Trousers,868.73
2025-10-01,D2C_WEB,Jackets,1099.11
2025-10-01,MYNTRA,Shirts,6266.13
2025-10-01,MYNTRA,T-Shirts,5128.01
2025-10-01,MYNTRA,Jeans,4561.87
2025-10-01,MYNTRA,Co-ords,2732.16
2025-10-01,MYNTRA,Trousers,2534.43
2025-10-01,MYNTRA,Jackets,2154.96
2025-10-01,FLIPKART,Shirts,3066.01
2025-10-01,FLIPKART,T-Shirts,2412.37
2025-10-01,FLIPKART,Jeans,3282.71
2025-10-01,FLIPKART,Co-ords,1739.57
2025-10-01,FLIPKART,Trousers,1688.24
2025-10-01,FLIPKART,Jackets,1040.79
2025-10-01,AJIO,Shirts,2317.64
2025-10-01,AJIO,T-Shirts,2039.84
2025-10-01,AJIO,Jeans,1533.66
2025-10-01,AJIO,Co-ords,722.05
2025-10-01,AJIO,Trousers,616.0
2025-10-01,AJIO,Jackets,544.36
2025-10-02,D2C_APP,Shirts,4227.45
2025-10-02,D2C_APP,T-Shirts,3604.81
2025-10-02,D2C_APP,Jeans,4422.51
2025-10-02,D2C_APP,Co-ords,2116.95
2025-10-02,D2C_APP,Trousers,2261.05
2025-10-02,D2C_APP,Jackets,1203.54
2025-10-02,D2C_WEB,Shirts,4223.82
2025-10-02,D2C_WEB,T-Shirts,2534.32
2025-10-02,D2C_WEB,Jeans,1530.33
2025-10-02,D2C_WEB,Co-ords,1694.53
2025-10-02,D2C_WEB,Trousers,1325.85
2025-10-02,D2C_WEB,Jackets,773.1
2025-10-02,MYNTRA,Shirts,6573.62
2025-10-02,MYNTRA,T-Shirts,4834.87
2025-10-02,MYNTRA,Jeans,3440.95
2025-10-02,MYNTRA,Co-ords,2881.77
2025-10-02,MYNTRA,Trousers,2777.53
2025-10-02,MYNTRA,Jackets,1958.86
2025-10-02,FLIPKART,Shirts,3129.96
2025-10-02,FLIPKART,T-Shirts,4140.16
2025-10-02,FLIPKART,Jeans,2374.79
2025-10-02,FLIPKART,Co-ords,1704.08
2025-10-02,FLIPKART,Trousers,1626.32
2025-10-02,FLIPKART,Jackets,1533.0
2025-10-02,AJIO,Shirts,1704.07
2025-10-02,AJIO,T-Shirts,1441.77
2025-10-02,AJIO,Jeans,1947.39
2025-10-02,AJIO,Co-ords,1008.38
2025-10-02,AJIO,Trousers,923.25
2025-10-02,AJIO,Jackets,753.48
2025-10-03,D2C_APP,Shirts,7193.94
2025-10-03,D2C_APP,T-Shirts,4665.5
2025-10-03,D2C_APP,Jeans,4218.95
2025-10-03,D2C_APP,Co-ords,1628.5
2025-10-03,D2C_APP,Trousers,1776.89
2025-10-03,D2C_APP,Jackets,1129.85
2025-10-03,D2C_WEB,Shirts,2888.08
2025-10-03,D2C_WEB,T-Shirts,3657.29
2025-10-03,D2C_WEB,Jeans,1853.2
2025-10-03,D2C_WEB,Co-ords,1775.29
2025-10-03,D2C_WEB,Trousers,1627.63
2025-10-03,D2C_WEB,Jackets,898.77
2025-10-03,MYNTRA,Shirts,7357.83
2025-10-03,MYNTRA,T-Shirts,4634.01
2025-10-03,MYNTRA,Jeans,4482.95
2025-10-03,MYNTRA,Co-ords,2715.78
2025-10-03,MYNTRA,Trousers,1786.81
2025-10-03,MYNTRA,Jackets,1618.09
2025-10-03,FLIPKART,Shirts,5872.8
2025-10-03,FLIPKART,T-Shirts,2572.33
2025-10-03,FLIPKART,Jeans,2974.44
2025-10-03,FLIPKART,Co-ords,2277.59
2025-10-03,FLIPKART,Trousers,1428.35
2025-10-03,FLIPKART,Jackets,1108.39
2025-10-03,AJIO,Shirts,2801.38
2025-10-03,AJIO,T-Shirts,2461.83
2025-10-03,AJIO,Jeans,1530.02
2025-10-03,AJIO,Co-ords,999.93
2025-10-03,AJIO,Trousers,799.28
2025-10-03,AJIO,Jackets,567.33
2025-10-04,D2C_APP,Shirts,6357.17
2025-10-04,D2C_APP,T-Shirts,4312.68
2025-10-04,D2C_APP,Jeans,4344.36
2025-10-04,D2C_APP,Co-ords,2476.96
2025-10-04,D2C_APP,Trousers,1845.97
2025-10-04,D2C_APP,Jackets,1673.37
2025-10-04,D2C_WEB,Shirts,5893.38
2025-10-04,D2C_WEB,T-Shirts,3213.84
2025-10-04,D2C_WEB,Jeans,2712.8
2025-10-04,D2C_WEB,Co-ords,2070.67
2025-10-04,D2C_WEB,Trousers,1591.25
2025-10-04,D2C_WEB,Jackets,1738.31
2025-10-04,MYNTRA,Shirts,8710.62
2025-10-04,MYNTRA,T-Shirts,7606.91
2025-10-04,MYNTRA,Jeans,5227.31
2025-10-04,MYNTRA,Co-ords,3951.15
2025-10-04,MYNTRA,Trousers,2320.79
2025-10-04,MYNTRA,Jackets,1739.22
2025-10-04,FLIPKART,Shirts,6208.5
2025-10-04,FLIPKART,T-Shirts,3255.57
2025-10-04,FLIPKART,Jeans,2514.65
2025-10-04,FLIPKART,Co-ords,2002.68
2025-10-04,FLIPKART,Trousers,1388.35
2025-10-04,FLIPKART,Jackets,1912.64
2025-10-04,AJIO,Shirts,4328.16
2025-10-04,AJIO,T-Shirts,1708.78
2025-10-04,AJIO,Jeans,1984.34
2025-10-04,AJIO,Co-ords,1645.06
2025-10-04,AJIO,Trousers,1316.07
2025-10-04,AJIO,Jackets,869.62
2025-10-05,D2C_APP,Shirts,7327.88
2025-10-05,D2C_APP,T-Shirts,3917.92
2025-10-05,D2C_APP,Jeans,5861.88
2025-10-05,D2C_APP,Co-ords,3483.98
2025-10-05,D2C_APP,Trousers,2255.07
2025-10-05,D2C_APP,Jackets,2586.01
2025-10-05,D2C_WEB,Shirts,5960.7
2025-10-05,D2C_WEB,T-Shirts,4587.68
2025-10-05,D2C_WEB,Jeans,2853.28
2025-10-05,D2C_WEB,Co-ords,1726.22
2025-10-05,D2C_WEB,Trousers,1789.21
2025-10-05,D2C_WEB,Jackets,1155.05
2025-10-05,MYNTRA,Shirts,8727.89
2025-10-05,MYNTRA,T-Shirts,8109.99
2025-10-05,MYNTRA,Jeans,5634.08
2025-10-05,MYNTRA,Co-ords,4648.82
2025-10-05,MYNTRA,Trousers,3085.58
2025-10-05,MYNTRA,Jackets,2972.38
2025-10-05,FLIPKART,Shirts,6043.9
2025-10-05,FLIPKART,T-Shirts,3440.67
2025-10-05,FLIPKART,Jeans,3152.73
2025-10-05,FLIPKART,Co-ords,2553.03
2025-10-05,FLIPKART,Trousers,2054.56
2025-10-05,FLIPKART,Jackets,1127.46
2025-10-05,AJIO,Shirts,3397.81
2025-10-05,AJIO,T-Shirts,2526.04
2025-10-05,AJIO,Jeans,2315.77
2025-10-05,AJIO,Co-ords,1078.68
2025-10-05,AJIO,Trousers,972.5
2025-10-05,AJIO,Jackets,763.91
2025-10-06,D2C_APP,Shirts,5273.9
2025-10-06,D2C_APP,T-Shirts,4826.05
2025-10-06,D2C_APP,Jeans,2945.98
2025-10-06,D2C_APP,Co-ords,2346.75
2025-10-06,D2C_APP,Trousers,1321.08
2025-10-06,D2C_APP,Jackets,1362.68
2025-10-06,D2C_WEB,Shirts,4273.56
2025-10-06,D2C_WEB,T-Shirts,2520.55
2025-10-06,D2C_WEB,Jeans,2674.51
2025-10-06,D2C_WEB,Co-ords,1232.17
2025-10-06,D2C_WEB,Trousers,969.4
2025-10-06,D2C_WEB,Jackets,1219.71
2025-10-06,MYNTRA,Shirts,8492.75
2025-10-06,MYNTRA,T-Shirts,5370.45
2025-10-06,MYNTRA,Jeans,5055.64
2025-10-06,MYNTRA,Co-ords,2526.83
