return_id,order_id,return_date,return_reason,refund_amount,reverse_logistics_cost
RT0000002,SN260319000002,2026-03-30,Size issue,4012.8,80
RT0000008,SN260122000008,2026-01-29,Size issue,1346.9,80
RT0000009,SN251107000009,2025-11-18,Late delivery,1199.47,80
RT0000011,SN260320000011,2026-03-29,Changed mind,1006.76,80
RT0000013,SN260117000013,2026-01-25,Quality not as expected,3079.78,80
RT0000022,SN251226000022,2026-01-07,Style/fit not as expected,1454.09,80
RT0000030,SN260317000030,2026-03-24,Size issue,1353.78,80
RT0000036,SN260216000036,2026-03-02,Style/fit not as expected,1205.36,80
RT0000047,SN251024000047,2025-11-03,Quality not as expected,1339.59,80
RT0000052,SN260118000052,2026-01-30,Late delivery,904.92,80
RT0000054,SN251116000054,2025-11-29,Quality not as expected,1059.66,80
RT0000059,SN260320000059,2026-03-25,Style/fit not as expected,1328.78,80
RT0000060,SN251205000060,2025-12-15,Style/fit not as expected,2189.16,80
RT0000065,SN260111000065,2026-01-21,Style/fit not as expected,1715.58,80
RT0000076,SN251016000076,2025-10-28,Size issue,2991.21,80
RT0000083,SN260325000083,2026-03-31,Size issue,1137.66,80
RT0000084,SN251124000084,2025-11-30,Late delivery,5398.62,80
RT0000097,SN251107000097,2025-11-20,Quality not as expected,1243.78,80
RT0000106,SN260224000106,2026-03-06,Quality not as expected,4650.75,80
RT0000124,SN251030000124,2025-11-13,Size issue,4826.72,80
RT0000125,SN260123000125,2026-01-27,Late delivery,3391.98,80
RT0000157,SN251225000157,2026-01-05,Size issue,4230.5,80
RT0000159,SN260214000159,2026-02-22,Quality not as expected,2308.78,80
RT0000176,SN251023000176,2025-10-27,Size issue,3616.98,80
RT0000184,SN260227000184,2026-03-02,Quality not as expected,1145.21,80
RT0000189,SN260212000189,2026-02-22,Wrong item delivered,1815.7,80
RT0000190,SN251121000190,2025-11-26,Style/fit not as expected,2203.63,80
RT0000193,SN251001000193,2025-10-03,Changed mind,1619.37,80
RT0000198,SN260217000198,2026-02-22,Changed mind,1730.77,80
